Z,N,A,EL,mass_excess_keV_value,mass_excess_unc_keV_value,mass_excess_keV_flag,BE_per_A_keV_value,BE_per_A_unc_keV_value,BE_per_A_keV_flag,beta_decay_energy_keV_value,beta_decay_energy_unc_keV_value,S_2n_value,S_2n_unc_value,S_2n_flag,S_2p_value,S_2p_unc_value,S_2p_flag,Q_alpha_value,Q_alpha_unc_value,Q_alpha_flag,S_n_value,S_n_unc_value,S_n_flag,S_p_value,S_p_unc_value,S_p_flag,Total_BE_keV,data_quality,fully_experimental
57,73,130,La,-81627.374,25.946,experimental,8356.1919,0.1996,experimental,-2204.4611,38.1328,19144.5715,60.3139,experimental,10273.5438,26.4973,experimental,298.3928,27.9375,experimental,8375.1513,33.5968,experimental,3855.4796,27.9916,experimental,1086304.947,high,True
58,72,130,Ce,-79422.913,27.945,experimental,8333.2164,0.215,experimental,-8247.4488,70.0853,20031.624,39.5199,experimental,8631.6997,27.9912,experimental,822.0842,30.612,experimental,11206.7272,39.5199,experimental,5388.3432,35.1633,experimental,1083318.132,high,True
59,71,130,Pr,-71175.464,64.273,experimental,8263.7565,0.4944,experimental,-4579.225,70.0853,20987.337,70.8487,experimental,7127.9676,84.2353,experimental,1373.0954,111.0075,experimental,9473.2167,70.8487,experimental,2176.9314,70.0853,experimental,1074288.345,high,True
60,70,130,Nd,-66596.239,27.945,experimental,8222.5136,0.215,experimental,-11127.0,202.0,22209.0,202.0,estimated,5640.2562,39.5199,experimental,1799.4099,39.5199,experimental,12293.0,204.0,estimated,4111.6447,40.8585,experimental,1068926.768,mixed,True
46,85,131,Pd,-25740.0,300.0,estimated,7993.0,2.0,estimated,15010.0,583.0,4002.0,671.0,estimated,,,not_calculable,,,not_calculable,1081.0,424.0,estimated,,,not_calculable,1047083.0,low,False
47,84,131,Ag,-40750.0,500.0,estimated,8102.0,4.0,estimated,14462.0,501.0,5022.0,640.0,estimated,,,not_calculable,-9445.0,781.0,estimated,2924.0,656.0,estimated,15309.0,583.0,estimated,1061362.0,low,False
48,83,131,Cd,-55211.76,19.238,experimental,8206.1204,0.1469,experimental,12812.6089,19.3644,8232.2548,19.9577,experimental,31910.0,600.0,estimated,-10416.0,501.0,estimated,2165.4809,29.4941,experimental,16603.0,425.0,estimated,1075001.7724,high,True
49,82,131,In,-68024.369,2.205,experimental,8297.9544,0.0168,experimental,9240.2095,4.2397,11332.1166,2.958,experimental,30732.0,400.0,estimated,-11800.0,200.0,estimated,6189.1576,2.8402,experimental,14195.7428,22.4644,experimental,1087032.0264,high,True
50,81,131,Sn,-77264.579,3.621,experimental,8362.5183,0.0276,experimental,4716.8328,3.9621,12816.6181,17.6455,experimental,28720.3792,6.4267,experimental,-10948.2956,7.1803,experimental,5203.6802,4.0767,experimental,14647.0202,4.0391,experimental,1095489.8973,high,True
51,80,131,Sb,-81981.412,2.084,experimental,8392.5525,0.0159,experimental,3229.6099,2.0845,13494.6636,21.3271,experimental,23724.465,2.8684,experimental,-7526.4307,10.2162,experimental,7767.0428,14.3643,experimental,9138.166,2.8017,experimental,1099424.3775,high,True
52,79,131,Te,-85211.022,0.061,experimental,8411.2339,0.0005,experimental,2231.7057,0.6077,14348.7735,0.7134,experimental,19198.3668,17.2701,experimental,-4166.3596,9.2257,experimental,5929.38,0.06,experimental,10214.3058,14.2125,experimental,1101871.6409,high,True
53,78,131,I,-87442.727,0.605,experimental,8422.2977,0.0046,experimental,970.8477,0.6046,15078.1873,3.2109,experimental,17391.2852,21.2337,experimental,-3169.3493,5.1191,experimental,8577.8573,3.2111,experimental,7378.7387,0.6047,experimental,1103320.9986999999,high,True
54,77,131,Xe,-88413.57492,0.00512,experimental,8423.7367,0.0003,experimental,-358.0009,0.1771,15860.1413,0.0016,experimental,15986.6329,0.7109,experimental,-2557.994,1.365,experimental,6604.4186,0.008,experimental,8766.358,3.1537,experimental,1103509.5077,high,True
