Z,N,A,EL,T01_mass_excess,T02_BE_per_A,T03_S_2n,T04_S_2p,T05_S_n,T06_S_p,T07_Q_alpha,T08_Q_beta,T09_E_2plus,T10_BE2_up,T11_beta2,T12_tau,T13_E_4plus,T14_R_42,F01_Z,F02_N,F03_A,F04_dZ50,F05_dZ82,F06_dN50,F07_dN82,F08_Zmod2,F09_Nmod2,F10_valence,F11_eveneven
46,59,105,Pd,-88417.905,8570.6509,17103.5607,15728.6793,7094.1,8747.5319,-2884.708,-1347.0564,,,,,,,46,59,105,4,36,9,23,0,1,13,0
47,58,105,Ag,-87070.848,8550.3708,18410.7821,13617.0851,10025.6965,4964.6966,-2083.3363,-2736.9989,,,,,,,47,58,105,3,35,8,24,1,0,11,0
48,57,105,Cd,-84333.849,8516.8532,19824.8593,11454.8114,8436.7762,6506.3505,-1326.6206,-4693.2673,,,,,,,48,57,105,2,34,7,25,0,1,9,0
49,56,105,In,-79640.582,8464.7045,21150.8212,9415.8219,11529.2255,2961.1619,-731.1138,-6302.5807,,,,,,,49,56,105,1,33,6,26,1,0,7,0
50,55,105,Sn,-73338.001,8397.229,22388.0,7264.3172,9782.2623,4444.2978,73.5483,-9322.5103,,,,,,,50,55,105,0,32,5,27,0,1,5,0
51,54,105,Sb,-64015.491,8300.9923,23488.0,3961.0362,12792.0,-322.595,2104.4944,-11203.9825,,,,,,,51,54,105,1,31,4,28,1,0,5,0
52,53,105,Te,-52811.509,8186.8368,,297.0,11255.9961,806.0,5069.1999,,,,,,,,52,53,105,2,30,3,29,0,1,5,0
40,66,106,Zr,-58749.0,8330.0,9174.0,29568.0,5362.0,15468.0,-9015.0,7453.0,,,,,476.57,3.1322379231022017,40,66,106,10,42,16,16,0,0,26,1
41,65,106,Nb,-66202.678,8393.2657,10534.3178,26701.0,4358.4497,12033.3756,-7454.9528,9925.3249,,,,,,,41,65,106,9,41,15,17,1,1,24,0
42,64,106,Mo,-76128.003,8479.5202,11926.8915,24988.2854,6868.5336,13501.4276,-6971.4921,3648.2494,171.549,1.74,0.403,793.0,522.328,3.044760180425742,42,64,106,8,40,14,18,0,0,22,1
43,63,106,Tc,-79776.253,8506.557,13419.9197,22543.1981,5561.2672,9734.436,-5902.9035,6547.0,,,,,,,43,63,106,7,39,13,19,1,1,20,0
44,62,106,Ru,-86323.253,8560.9406,14370.1252,20557.4469,8460.0277,11325.9202,-5187.3028,39.4038,270.07,0.894,0.276,518.0,714.691,2.6462784273939737,44,62,106,6,38,12,20,0,0,18,1
45,61,106,Rh,-86362.656,8553.9317,15545.9485,18441.6295,6582.7043,7717.0845,-4214.6509,3544.8865,,,,,,,45,61,106,5,37,11,21,1,1,16,0
46,60,106,Pd,-89907.543,8579.9934,16655.0561,16389.7215,9560.9561,9345.2439,-3226.024,-2965.1434,511.85,0.764,0.2437,34.42,1229.304,1.0897862898185589,46,60,106,4,36,10,22,0,0,14,1
47,59,106,Ag,-86942.399,8544.6397,17968.5656,14560.9976,7942.8691,5813.4657,-2583.9992,189.7534,,,,,,,47,59,106,3,35,9,23,1,1,12,0
48,58,106,Cd,-87132.153,8539.0492,19306.3977,12314.9721,10869.6215,7350.2755,-1654.1057,-6524.0031,632.64,0.419,0.173,9.55,1493.785,2.361177850418245,48,58,106,2,34,8,24,0,0,10,1
49,57,106,In,-80608.15,8470.1213,20568.1112,10069.6219,9038.8857,3563.2713,-786.364,-3254.4521,,,,,,,49,57,106,1,33,7,25,1,1,8,0
50,56,106,Sn,-77353.698,8432.0383,21869.2765,7963.2484,12087.0142,5002.0865,-118.9119,-10880.3964,,,,,2019.65,1.672241771889878,50,56,106,0,32,6,26,0,0,6,1
51,55,106,Sb,-66473.301,8322.0124,23321.0,4868.5687,10529.1282,424.2708,1796.6786,-8253.5423,,,,,,,51,55,106,1,31,5,27,1,1,6,0
52,54,106,Te,-58219.759,8236.7682,24735.5644,1170.6438,13479.5684,1493.2389,4290.2208,-14920.0,664.8,0.387,0.153,11.0,,,52,54,106,2,30,4,28,0,0,6,1
53,53,106,I,-43300.0,8089.0,,-1417.0,,-2223.0,5375.0,,,,,,,,53,53,106,3,29,3,29,1,1,6,0
